MYP20	MAYONNAISE PORTIONEN 150 x 20ml 'DEVELEY'	KRT	1
KEP20	KETCHUP PORTIONEN 150 x 20ml 'DEVELEY'	KRT	1
PUS02	ÄTZNATRON (SODA CAUSTICA) RASPELN 1kg	DOS	6
THB02	THUNFISCH STÜCKE SONNENBLUMENÖL 1kg 'AMERIO'	SAC	3
HYH08	HANDSCHUHE SCHWARZ LATEX L 8-8,5 100 STÜCK	NR.	1
HYH07	HANDSCHUHE SCHWARZ LATEX M 7-7,5 100 STÜCK	NR.	1
GM42T	BROKKOLI RÖSCHEN GEFROREN 'OROGEL'	KG.	4
PO46T	COUNTRY WEDGES MIT SCHALE 'McCAIN'	KG.	12,5
RBJ03	ROTE BETE JULIENNE 3/1 'ZUCCATO'	DOS	6
PO55T	POMMES JULIENNE 6x6mm SURE CRISP 'McCAIN'	KG.	12,5
