PUS91	SVELTO ZITRONE HANDSPÜLMITTEL 980ml	FLA	12
TFM12	MANDELMEHL 1kg 'ABBASCIANO'	SAC	4
KEP20	KETCHUP PORTIONEN 150 x 20ml 'DEVELEY'	KRT	2
PUW01	WC NET 700ml	FLA	12
TST17	LOACKER NAPOLITANER MICROS 3,2g 204 STÜCK	KRT	10
MYP20	MAYONNAISE PORTIONEN 150 x 20ml 'DEVELEY'	KRT	2
RSC00	REIS CARNAROLI SELEZIONE CASTEL D'ARIO 1kg NUVOLA	SAC	12
KED02	KETCHUP 250ml QF 100% NATUR 'DEVELEY'	FLA	12
MYD02	MAYONNAISE 250ml MINIONS 'DEVELEY'	FLA	12
EI42F	EIGELB -SPEZIAL- 1l (PASTA GIALLA) ELITE	BRI	4
EI71F	EIER GEMISCHT 1kg (VOLLEI) ELITE BODENHALTUNG	BRI	6
BTT02	GLUTENFREIES VOLLKORNBROT x2 85g NUTRIFREE	NR.	20
MEP02	PANKO PANIERMEHL ASIA 1kg SAMLIP	SAC	6
