WMG25	WEIZENMEHL GOLD 00 25kg 'RIEPER'	SAC	1
BEV25	VAKUUMBEUTEL 25x35cm 100 STÜCK	NR.	2
ZUC27	ZUCKER 100% ITALIEN 25kg	KG.	25
VNS11	VANILLE-MIX GEMAHLEN (EX-BOURBON) 100g 'WIBERG'	GLA	2
BEM80	MÜLLSÄCKE SCHWARZ 82x110cm 100g 100 STÜCK	KRT	2
BEV20	VAKUUMBEUTEL 20x30cm 100 STÜCK	NR.	2
GMM45	WASABI GRÜNER MEERRETTICH ASIA 43g 'S&B'	TUB	4
WEW10	WEISSWEIN 1l 'RONCO'	FLA	6
OES25	SAMENÖL 10l 'BIG CHEF'	KAN	2
BEV30	VAKUUMBEUTEL 30x40cm 100 STÜCK	NR.	4
WER20	ROTWEIN MONTEPULCIANO 2l	FLA	6
EI99F	WACHTELEIER BIO* FRISCH 18 STÜCK 'OBERFREIHOF'	NR.	8
BEM24	SPRITZBEUTEL GROSS 55/27cm RUTSCHFEST 100 STÜCK	NR.	2
