QT65F	RICOTTA PUGLIESE 'ABBASCIANO'	KG.	5,162
OLS08	OLIO OLIVA EXTRA VERGINE IGP SICILIA 0,75l 'OLEUM'	FLA	12
GBG13	STICK DI BREZEL SALATI 1,8kg 'F&F'	EIM	2
OLE50	OLIO OLIVA EXTRA VERG. 5l 'COSTA D'ORO'	KAN	2
MK23F	COZZA ALLEVATA ITALIA 1kg	KG.	5
TT80T	RAVIOLONI ALLA VERDURA 1kg CONG. KOCH	SAC	4
GM77T	MIX VERDURE RATATOUILLE CONG. 'BONDUELLE'	KG.	5
DGA1F	SUINO GUANCIALE AMATRICIANO AFFUM. SEL. 'DoGusto'	KG.	1,13
GR78T	GAMBERI CODE ARGENTINA C1 2kg PESO NETTO CONG	NR.	6
MER29	MAIZENA AMIDO DI RISO 600g SENZA GLUTINE	NR.	3
MEM29	MAIZENA AMIDO DI MAIS 700g	NR.	3
ZUC01	ZUCCHERO 1kg	SAC	20
