MI45F	MILCH UHT 3,5% 1l 'GMUNDEN'	BRI	12
SH26F	SCHLAGSAHNE 1l FRISCH 'STERZINGER'	BRI	6
BU70F	BUTTER 1kg 'DELIZIE DI LATTE'	NR.	10
KA64F	TOBLACHER STANGENKÄSE 1/2 '3 ZINNEN'	KG.	2,5
KA56F	BURGEISER WATLES KÄSE	KG.	2,5
KS09F	FRISCHKÄSE NATUR 1kg 'SALZBURGER'	BEC	2
ZUS10	STAUBZUCKER 1kg	SAC	2
GUD42	GEWÜRZGURKEN 2/1 'SPECHT DURACH'	GLA	4
SZG10	SALZ GROB 1kg x 10	PAC	1
SHK21	KAFFEE-SAHNE 10g 120 PORT. 'BAYERNLAND'	KRT	1
OES50	SAMENÖL 5l 'BIG CHEF'	KAN	2
ESW10	ESSIG WEISS 1l	FLA	12
SH10F	SCHLAGSAHNE UHT 30% 1l 'MEGGLE'	BRI	12
