MUH10	HAFERFLOCKEN GROB 750g 'SCHLÖSSLMÜHLE'	SAC	4
EI21F	EIER 180er - BOX (L) 63-73g	KRT	1
KA10F	BIANCO KÄSE 'BERGADER'	KG.	2,779
MUS01	SCHOKOSHELLS 1kg 'VENOSTA'	SAC	2
DEA12	AMARENE 1,25kg 'FABBRI'	DOS	6
TFM12	MANDELMEHL 1kg 'ABBASCIANO'	SAC	1
KA15F	EMMENTALER KÄSE BAYERN 'BAYERNLAND'	KG.	3,168
MUF10	MÜSLI FRÜCHTE 2,5kg 'VENOSTA'	SAC	1
HYH08	HANDSCHUHE SCHWARZ LATEX L 8-8,5 100 STÜCK	NR.	2
PUC02	CIF CLASSIC SCHEUERCREME 2l	FLA	6
KA01F	BRIE FRANZÖSISCH ca. 1kg	KG.	1,232
JO50F	JOGHURT NATUR 5kg 'BAYERNLAND'	EIM	1
KS17F	GORGONZOLA MILD DOP 1/8 'VERDEPASCOLO'	KG.	1,525
BU64F	BUTTER PORTIONEN 10g 1,5kg 'STERZINGER'	NR.	2
MUC20	CORN FLAKES 1kg 'VENOSTA'	SAC	1
KA07F	CAMEMBERT PORTIONEN 125g 'ALPENHAIN'	NR.	15
SH40F	SCHLAGSAHNE UHT 35% 1l 'ALMLIESL'	BRI	12
KA04F	EDAMER	KG.	3,37
KA17F	PHILADELPHIA GROSS 1,65kg	BEC	1
SH26F	SCHLAGSAHNE 1l FRISCH 'STERZINGER'	BRI	5
FRO15	ORANGENNEKTAR 50% 1,5l 'FRUITY'	BRI	8
JO79F	JOGHURT 'STERZINGER' ERDBEERE 5kg	EIM	1
BU61F	BUTTER 250g 'STERZINGER'	NR.	20
TFN63	WALNÜSSE GESCHÄLT HALBIERT 1kg 'ABBASCIANO'	SAC	1
KUS50	KUVERTÜRE DUNKEL EX. BITTER 64% PISTOLES 5kg BARRY	SAC	1
