WMB25	WEIZENMEHL BLAU 00 25kg 'RIEPER'	SAC	2
ZUC25	ZUCKER 25kg	KG.	50
DGT10	TOMATEN GESCHÄLT QUALITÁ SUPERIORE 3/1 'DoGusto'	DOS	6
ESW10	ESSIG WEISS 1l	FLA	12
ESR10	ESSIG ROT 1l	FLA	12
MA300	MAISKORN 3/1 'BONDUELLE'	DOS	6
MMA52	KONFITÜRE APRIKOSE PASSIERT 45% 5kg 'UWE'	EIM	2
SED10	SENF MITTELSCHARF 875ml 'DEVELEY'	EIM	2
MER01	ROGGENMEHL I 1kg 'RIEPER'	SAC	10
GFK02	MISCHUNG GLUTENFREI PIZZA-BROT-FOCACCIA 500g	SAC	2
GFK10	UNIVERSALMEHL GLUTENFREI 500g MERANER MÜHLE	SAC	4
TWF50	FREGOLA SARDA MITTEL 500g	SAC	2
GDB02	BUCHWEIZEN GESCHÄLT BIO* 1kg 'SCHLÖSSLMÜHLE'	SAC	2
RSR18	REIS RIBE 5kg 'TAGLIERE'	KG.	5
BTS39	BROT FÜR TRAMEZZINI 250g 'ROBERTO'	NR.	1
BMG38	GELATINE BLÄTTER BRONZE 1kg 'GELITA'	NR.	1
GZA20	ANIS 1kg 'SCHLÖSSLMÜHLE'	SAC	1
GMF17	FENCHEL SAMEN GANZ 1kg	SAC	1
EI21F	EIER 180er - BOX (L) 63-73g	KRT	2
EI42F	EIGELB -SPEZIAL- 1l (PASTA GIALLA) ELITE	BRI	3
EI45F	EIWEISS 1kg ELITE	BRI	1
