WMB01	WEIZENMEHL BLAU 00 1kg 'RIEPER'	SAC	20
TFH12	HASELNUSSMEHL 1kg	SAC	1
HPS60	SERVIETTEN WEISS 2 LAGEN 38x38cm 50 STÜCK	NR.	48
HPH15	PAPIER-HANDTÜCHER 'V' 12x250 STÜCK	KRT	1
HYH08	HANDSCHUHE SCHWARZ LATEX L 8-8,5 100 STÜCK	NR.	1
SIS15	HOLUNDERBLÜTENSIRUP 1,5l 'YO'	FLA	6
ALA16	APEROL 1l	FLA	6
KED08	KETCHUP 875ml QUETSCHFLASCHE 'DEVELEY'	FLA	8
SED10	SENF MITTELSCHARF 875ml 'DEVELEY'	EIM	1
BU25F	BUTTERSTANGE DEUTSCHE MARKENBUTTER 2,5kg	KG.	10
SIH01	HIMBEERSIRUP 'SPITZ' 1,5l	FLA	6
TO88T	SACHER SCHOKOLADETORTE 1,6kg GEFR. STABINGER	KRT	5
ZUC01	ZUCKER 1kg	SAC	10
SN10T	SPINAT CUBELLO GEFROREN MENOVENTUNO	KG.	10
BEM80	MÜLLSÄCKE SCHWARZ 82x110cm 100g 100 STÜCK	KRT	1
EI35F	EIER SPEZIAL 180er - BOX (L) 63-73g	KRT	2
SZF10	SALZ FEIN 1kg x 10	PAC	1
SPV4T	EIS VANILLE 4l GEFR. EMOZIONI	KRT	2
FOK10	KLARSICHTFOLIE 30cm 300m 'CUKI'	NR.	1
GTE01	EISWÜRFEL 6x2kg	KRT	1
MYD10	MAYONNAISE 875ml GROSSE QF 'DEVELEY'	FLA	8
WMH10	HARTWEIZENMEHL 1kg 'DeCECCO'	SAC	10
BRR11	BRODO RECORD 1kg 'KNORR'	DOS	1
PO70T	POMMES GARDEN WEDGES MIT SCHALE GEFR. 'LUTOSA'	KG.	20
ESW10	ESSIG WEISS 1l	FLA	12
PUW10	WASCHMITTEL FLÜSSIG KONZENTRAT SURF 10l	KAN	1
MMP53	PREISELBEEREN 50% FRUCHT 5kg 'M&G'	EIM	4
SZG10	SALZ GROB 1kg x 10	PAC	1
SSN07	NUTELLA STREICHSCHOKOLADE 950g	GLA	6
TW60T	BLÄTTERTEIG +BURRO 1kg GEFR. 'GRAZIADEI'	NR.	6
OES50	SAMENÖL 5l 'BIG CHEF'	KAN	4
KEB10	DIP-SAUCE BARBECUE 850g 'WIBERG'	FLA	3
