EI35F	EIER SPEZIAL 180er - BOX (L) 63-73g	KRT	1
MI15F	MILCH 'BRIMI' UHT 3,5% 1l	BRI	24
SZG10	SALZ GROB 1kg x 10	PAC	1
TFM50	MOHN GEMAHLEN 1kg	SAC	1
BU19F	BUTTER BLOCK DEUTSCHE MARKENBUTTER 10kg GOLDSTEIG	KG.	10
RF75F	RIND GULASCH GESCHNITTEN SÜDTIROLER SIMMENTALER FR	KG.	5
MMP92	PREISELBEEREN 1,9kg 66% 'EGGER'S'	EIM	6
WGR96	ROSMARIN GEFRIERGETROCKNET 140g 'WIBERG'	DOS	1
DEA32	AMARENE 2,75kg 'FABBRI'	DOS	2
MK06F	VENUSMUSCHELN VERACI FOPPA 1. WAHL ITALIEN	KG.	1
MK23F	MIESMUSCHELN ITALIEN 1kg	KG.	2
FL20F	LACHSFORELLENFILET MIT HAUT 160-250g TN	KG.	1,5
SC68F	SCHWEIN KAISERTEILE FRISCH OHNE DECKEL	KG.	1,9
RI10F	RIND ROASTBEEF ARGENTINIEN GRAIN FOPPA FRISCH FTS	KG.	3,2
GR76T	GARNELENSCHWÄNZE BL. TIGER EASY PEEL 16/20 800g GF	SAC	12
HU01F	HUHN GEPUTZT 1,0kg	KG.	10
SC52T	SCHWEIN STELZE MIT HAUT x2 GEFROREN	KG.	10
SC03F	SCHWEIN SCHOPF FRISCH	KG.	5,4
SC11F	BAUCHSPECK GERÄUCHERT 'MARTIN'	KG.	3
BT45T	BROT BAGUETTE 60cm 8,4kg 'PANEXPERT'	KRT	1
RI71F	RIND WANGE x4 FRISCH	KG.	16
SC78T	SCHWEIN SPARE RIBS VION GEFROREN	KG.	10
