GDS03	SONNENBLUMENKERNE GESCHÄLT 1kg SCHLÖSSLMÜHLE	SAC	2
GDL35	LEINSAMEN 1kg 'SCHLÖSSLMÜHLE'	SAC	1
MUK96	KNUSPERMÜSLI CRUNCHY ERDBEERE/HIMBEERE 1kg VENOSTA	SAC	8
GBN39	GRISSINI GEMISCHT 3 SORTEN 4,8kg NÄCKLER	KRT	1
GBS61	SALZ-ERDNÜSSE 1kg 'ABBASCIANO'	SAC	8
BI10F	SOJA DRINK BARISTA 1l 'ORASI'	BRI	1
BI11F	REIS DRINK 1l 'ORASI'	BRI	1
BI15F	HAFER DRINK + PROTEIN 1l 'ORASI'	BRI	1
MI00F	LAKTOSEFREIE MILCH UHT 1% 1l GRANAROLO	BRI	1
KS90F	PHILADELPHIA 100g	NR.	3
MI95F	FRISCHMILCH ESL 3,5% 1l 'SALZBURGER'	BRI	12
BU25F	BUTTERSTANGE DEUTSCHE MARKENBUTTER 2,5kg	KG.	10
MI15F	MILCH 'BRIMI' UHT 3,5% 1l	BRI	24
SH40F	SCHLAGSAHNE UHT 35% 1l 'ALMLIESL'	BRI	12
SH26F	SCHLAGSAHNE 1l FRISCH 'STERZINGER'	BRI	5
MIK51	KONDENSMILCH 340g 'TURM'	BRI	2
